Ref,Val,Package,PosX,PosY,Rot,Side
"C1","180uF","CP_Elec_10x12.6",142.750000,-84.000000,0.000000,top
"C2","180uF","CP_Elec_10x12.6",127.000000,-84.000000,180.000000,top
"C3","180uF","CP_Elec_10x12.6",111.250000,-84.000000,180.000000,top
"C4","180uF","CP_Elec_10x12.6",112.500000,-115.000000,180.000000,top
"C5","10uF","C_1210_3225Metric",139.375000,-96.225000,0.000000,top
"C6","10uF","C_1210_3225Metric",114.100000,-107.600000,180.000000,top
"C7","10uF","C_1210_3225Metric",139.375000,-92.000000,0.000000,top
"C8","10uF","C_1210_3225Metric",141.500000,-106.750000,0.000000,top
"C9","100uF","CP_Elec_10x12.6",142.750000,-60.500000,0.000000,top
"C10","100uF","CP_Elec_10x12.6",127.000000,-127.275000,0.000000,top
"C11","100uF","CP_Elec_10x12.6",127.000000,-72.250000,180.000000,top
"C12","100uF","CP_Elec_10x12.6",111.000000,-139.000000,180.000000,top
"C13","0.1uF","C_0603_1608Metric",171.250000,-64.500000,-90.000000,top
"C14","0.1uF","C_0603_1608Metric",171.250000,-67.750000,90.000000,top
"C15","100uF","CP_Elec_10x12.6",142.750000,-72.250000,0.000000,top
"C16","100uF","CP_Elec_10x12.6",112.500000,-127.225000,180.000000,top
"C17","0.1uF","C_0603_1608Metric",130.500000,-60.325000,180.000000,top
"C18","0.1uF","C_0603_1608Metric",123.025000,-139.375000,0.000000,top
"C19","0.1uF","C_0603_1608Metric",91.500000,-93.000000,180.000000,top
"C20","10uF","C_1210_3225Metric",99.500000,-70.000000,180.000000,top
"C21","10uF","C_1210_3225Metric",98.500000,-66.000000,-90.000000,top
"C25","180uF","CP_Elec_10x12.6",127.000000,-115.000000,0.000000,top
"C26","180uF","CP_Elec_10x12.6",142.750000,-115.000000,0.000000,top
"C30","180uF","CP_Elec_10x12.6",183.500000,-67.500000,-90.000000,top
"C33","0.1uF","C_0603_1608Metric",155.750000,-144.750000,90.000000,top
"C34","10uF","C_1210_3225Metric",163.500000,-151.000000,0.000000,top
"C35","10uF","C_1210_3225Metric",163.500000,-147.750000,0.000000,top
"C36","1uF","C_1210_3225Metric",169.250000,-151.000000,180.000000,top
"C37","1uF","C_1210_3225Metric",169.250000,-147.750000,180.000000,top
"C38","0.1uF","C_0603_1608Metric",187.250000,-116.250000,-90.000000,top
"C39","0.1uF","C_0603_1608Metric",147.500000,-102.750000,0.000000,top
"C40","0.1uF","C_0603_1608Metric",208.250000,-151.500000,90.000000,top
"C41","10uF","C_1210_3225Metric",84.415000,-73.810000,0.000000,top
"C42","10uF","C_1210_3225Metric",89.665000,-73.810000,180.000000,top
"C43","0.1uF","C_0603_1608Metric",76.415000,-71.310000,90.000000,top
"C44","0.1uF","C_0603_1608Metric",89.750000,-82.000000,90.000000,top
"C45","1uF","C_1210_3225Metric",91.000000,-85.250000,0.000000,top
"C46","10uF","C_1210_3225Metric",178.500000,-52.500000,-90.000000,top
"C47","10uF","C_1210_3225Metric",181.000000,-57.000000,180.000000,top
"C48","0.1uF","C_0603_1608Metric",158.250000,-150.000000,-90.000000,top
"C49","0.1uF","C_0603_1608Metric",79.000000,-76.750000,-90.000000,top
"C50","0.1uF","C_0603_1608Metric",83.750000,-81.000000,90.000000,top
"D1","SMAJ51CA","D_SMA",119.000000,-149.250000,90.000000,top
"D2","SMAJ51CA","D_SMA",84.500000,-91.000000,0.000000,top
"D4","SMD26PL-TP","D_SOD-123F",90.750000,-110.500000,180.000000,top
"D6","SK220A","D_SMA",164.750000,-144.250000,0.000000,top
"D7","SMD26PL-TP","D_SOD-123F",90.500000,-91.000000,180.000000,top
"D8","SMD26PL-TP","D_SOD-123F",104.250000,-70.750000,-90.000000,top
"D9","SMD26PL-TP","D_SOD-123F",188.000000,-57.000000,0.000000,top
"D10","LTST-C150KRKT","LED_1206_3216Metric",205.000000,-59.000000,0.000000,top
"D11","SK220A","D_SMA",85.665000,-70.310000,0.000000,top
"D12","SMD26PL-TP","D_SOD-123F",85.750000,-84.500000,0.000000,top
"D13","LTST-C150KRKT","LED_1206_3216Metric",205.000000,-62.500000,0.000000,top
"D14","LTST-C150KRKT","LED_1206_3216Metric",205.000000,-66.000000,0.000000,top
"D15","LTST-C150KRKT","LED_1206_3216Metric",181.500000,-80.000000,0.000000,top
"D16","LTST-C150KRKT","LED_1206_3216Metric",181.500000,-84.500000,0.000000,top
"D17","LTST-C150KRKT","LED_1206_3216Metric",205.000000,-55.500000,0.000000,top
"D18","LTST-C150KRKT","LED_1206_3216Metric",205.000000,-69.500000,0.000000,top
"D20","PPS1545-3G","TO-277B",100.500000,-80.710000,0.000000,top
"D21","PPS1545-3G","TO-277B",95.850000,-80.710000,0.000000,top
"F6","0678L9250-02","FUSC9830X318N",113.465000,-97.495000,0.000000,top
"F7","0678L9250-02","FUSC9830X318N",113.465000,-101.995000,0.000000,top
"F10","SF-1206SA250M-2","Fuse_1206_3216Metric_Pad1.42x1.75mm_HandSolder",191.500000,-137.062500,90.000000,top
"FID1","Fiducial","Fiducial_1mm_Mask2mm",221.000000,-146.000000,0.000000,top
"FID2","Fiducial","Fiducial_1mm_Mask2mm",219.750000,-79.750000,0.000000,top
"FID3","Fiducial","Fiducial_1mm_Mask2mm",81.500000,-53.250000,0.000000,top
"IC1","SI2318CDS-T1-GE3","SOT-23",85.500000,-110.250000,0.000000,top
"IC4","SI2318CDS-T1-GE3","SOT-23",162.500000,-52.250000,0.000000,top
"IC5","SI2318CDS-T1-GE3","SOT-23",162.500000,-48.750000,0.000000,top
"L1","SRR1208-470YL","L_Bourns_SRR1208_12.7x12.7mm",162.750000,-135.500000,0.000000,top
"L2","SRR1208-470YL","L_Bourns_SRR1208_12.7x12.7mm",83.500000,-61.750000,0.000000,top
"Q2","2N7002","SOT-23",188.250000,-137.562500,-90.000000,top
"Q3","2N7002","SOT-23",184.500000,-137.562500,-90.000000,top
"Q4","2N7002","SOT-23",180.750000,-137.562500,-90.000000,top
"Q5","SQJ182EP-T1_GE3","PowerPAK SO-8L",80.250000,-85.000000,180.000000,top
"R1","4.64k","R_0603_1608Metric",123.250000,-61.000000,180.000000,top
"R2","28","R_1206_3216Metric",128.750000,-139.000000,0.000000,top
"R3","1k","R_0603_1608Metric",169.750000,-64.500000,-90.000000,top
"R4","1k","R_0603_1608Metric",169.750000,-67.750000,90.000000,top
"R5","28","R_1206_3216Metric",94.250000,-89.500000,90.000000,top
"R6","10k","R_0603_1608Metric",82.500000,-110.250000,-90.000000,top
"R9","10k","R_0603_1608Metric",159.750000,-52.250000,-90.000000,top
"R10","10k","R_0603_1608Metric",159.750000,-48.750000,-90.000000,top
"R11","10k","R_0603_1608Metric",106.500000,-70.500000,-90.000000,top
"R12","10k","R_0603_1608Metric",105.750000,-67.250000,180.000000,top
"R13","10k","R_0603_1608Metric",191.750000,-112.000000,-90.000000,top
"R14","10k","R_0603_1608Metric",190.250000,-112.000000,-90.000000,top
"R15","10k","R_0603_1608Metric",188.750000,-112.000000,-90.000000,top
"R16","10k","R_0603_1608Metric",193.250000,-112.000000,-90.000000,top
"R17","10k","R_0603_1608Metric",188.750000,-124.250000,90.000000,top
"R18","10k","R_0603_1608Metric",193.250000,-124.250000,90.000000,top
"R19","10k","R_0603_1608Metric",190.250000,-124.250000,90.000000,top
"R20","10k","R_0603_1608Metric",191.750000,-124.250000,90.000000,top
"R21","220k","R_0603_1608Metric",191.000000,-91.250000,180.000000,top
"R22","10k","R_0603_1608Metric",194.250000,-91.250000,0.000000,top
"R23","220k","R_0603_1608Metric",191.000000,-88.500000,180.000000,top
"R24","10k","R_0603_1608Metric",194.250000,-88.500000,0.000000,top
"R27","220k","R_0603_1608Metric",191.000000,-94.000000,180.000000,top
"R28","10k","R_0603_1608Metric",194.250000,-94.000000,0.000000,top
"R31","10k","R_0603_1608Metric",200.000000,-59.000000,180.000000,top
"R32","10k","R_0603_1608Metric",188.250000,-134.562500,180.000000,top
"R34","10k","R_0603_1608Metric",200.000000,-62.500000,180.000000,top
"R35","10k","R_0603_1608Metric",200.000000,-66.000000,180.000000,top
"R36","1k","R_0603_1608Metric",181.500000,-78.000000,180.000000,top
"R37","1k","R_0603_1608Metric",181.500000,-82.500000,180.000000,top
"R38","1k","R_0603_1608Metric",200.000000,-55.500000,0.000000,top
"R39","10k","R_0603_1608Metric",184.500000,-134.562500,180.000000,top
"R40","180","RES_3540_TEC",76.962000,-122.428000,90.000000,top
"R41","1k","R_0603_1608Metric",200.000000,-69.500000,0.000000,top
"R43","10k","R_0603_1608Metric",180.750000,-134.562500,180.000000,top
"R44","300k","R_0603_1608Metric",156.500000,-150.000000,90.000000,top
"R45","10k","R_0603_1608Metric",155.000000,-150.000000,-90.000000,top
"R46","100k","R_0603_1608Metric",159.750000,-150.000000,90.000000,top
"R47","100k","R_0603_1608Metric",80.665000,-76.750000,90.000000,top
"R48","59k","R_0603_1608Metric",77.250000,-76.750000,90.000000,top
"R49","10k","R_0603_1608Metric",75.500000,-76.750000,-90.000000,top
"R50","0","R_0603_1608Metric",76.750000,-81.000000,-90.000000,top
"SW1","SW_Push","SW_SPST_TL3305B",206.500000,-50.000000,0.000000,top
"SW2","SW_Push","SW_SPST_TL3305B",144.750000,-50.000000,180.000000,top
"U2","IRS25752L","SOT-23-6",86.750000,-81.750000,180.000000,top
"U4","MCP1793T-5002H/OT","SOT-23-5",102.250000,-66.250000,90.000000,top
"U5","74HC4051","TSSOP-16_4.4x5mm_P0.65mm",191.000000,-118.000000,90.000000,top
"U6","MCP9700T-ETT","SOT-23",143.792000,-101.719000,180.000000,top
"U7","MCP9700T-ETT","SOT-23",210.689000,-151.434000,90.000000,top
"U8","LV2862YDDC","SOT-23-6",158.750000,-146.500000,0.000000,top
"U10","LV2862YDDC","SOT-23-6",79.415000,-73.060000,0.000000,top
