Reference;Value;Qty;DNP;Description;Id;PSA_PN
C1,C2,C3,C4,C25,C26,C30;180uF;7;;CAP ALU HYBRID 180UF 63V SMD;;PSA-0298
C5,C6,C7,C8,C20,C21,C34,C35,C41,C42,C46,C47;10uF;12;;CAP CER 10UF 63V X7R 1210;;PSA-0017
C9,C10,C11,C12,C15,C16;100uF;6;;CAP ALUM POLY 100UF 20% 63V SMD;;PSA-0134
C13,C14,C17,C18,C19,C33,C38,C39,C40,C43,C44,C48,C49,C50;0.1uF;14;;CAP CER 0.1UF 100V X7R 0603;;PSA-1449
C36,C37,C45;1uF;3;;CAP CER 1UF 100V X7R 1210;;PSA-3214
D1,D2;SMAJ51CA;2;;TVS DIODE 51VWM 82.4VC DO214AC;;PSA-0444
D4,D7,D8,D9,D12;SMD26PL-TP;5;;DIODE SCHOTTKY 60V 2A SOD123FL;;PSA-0445
D6,D11;SK220A;2;;DIODE SCHOTTKY 200V 2A DO214AC;;PSA-3211
D10,D13,D14,D15,D16,D17,D18;LTST-C150KRKT;7;;LED RED CLEAR 1206 SMD;;PSA-0037
D20,D21;PPS1545-3G;2;;DIODE SCHOTTKY 45V 15A TO277B;;PSA-3212
F1,F4,F5,F9;3557-10;4;;FUSE HOLDER BLADE 30A PCB;;PSA-0044
F6,F7;0678L9250-02;2;;FUSE BRD MT 25A 250VAC 72VDC SMD;;PSA-0045
F10;SF-1206SA250M-2;1;;FUSE BOARD MOUNT 2.5A 65VDC 1206;;PSA-0443
H1,H2,H3,H4,JP3,JP4,JP5,JP6,JP7,TP1,TP4,TP5,TP6,TP7,TP8,TP9,TP11,TP13,TP14;Jmp_2_Bridged,KeySwitch IN,MountingHole_Pad,TestPoint;19;DNP;test point;;
IC1,IC4,IC5;SI2318CDS-T1-GE3;3;;Vishay SI2318CDS-T1-GE3 N-channel MOSFET Transistor, 5.6 A, 40 V, 3-Pin SOT-23;;PSA-0048
J1;200241-1112;1;;CONN HEADER VERT 2POS 5.7MM;;PSA-2685
J3,J13;43650-0415;2;;CONN HEADER VERT 4POS 3MM;;PSA-1467
J4;PJ-063BH;1;;CONN POWER JACK 2.5X5.5MM;;PSA-0055
J7;XG4A-4035;1;;CONN HEADER R/A 40POS 2.54MM;;PSA-0057
J10,J14;43650-0228;2;;CONN HEADER VERT 2POS 3MM;;PSA-1470
J11;PPPC202LFBN-RC;1;;CONN HDR 40POS 0.1 GOLD PCB;;PSA-0058
K1;J115F11CH5VDCS61.5U;1;;RELAY GEN PURPOSE SPDT 50A 5V;;PSA-0051
L1,L2;SRR1208-470YL;2;;FIXED IND 47UH 2.2A 85 MOHM SMD;;PSA-3215
PS1,PS2;I7C4W008A120V-0C3-R;2;;DC-DC CONVERTER 9.6-48V 300W;;PSA-0050
Q2,Q3,Q4;2N7002;3;;MOSFET N-CH 60V 115MA SOT23-3;;PSA-2726
Q5;SQJ182EP-T1_GE3;1;;MOSFET N-CH 80V 210A SO-8;210A;PSA-1141
R1;4.64k;1;;RES 4.64K OHM 1% 1/10W 0603;;PSA-1473
R2,R5;28;2;;RES 28 OHM 1% 1/4W 1206;;PSA-0142
R3,R4,R36,R37,R38,R41;1k;6;;RES 1K OHM 1% 1/10W 0603;;PSA-1463
R6,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R22,R24,R28,R31,R32,R34,R35,R39,R43,R45,R49;10k;24;;RES 10K OHM 1% 1/10W 0603;;PSA-1445
R21,R23,R27;220k;3;;RES 220K OHM 1% 1/10W 0603;;PSA-1454
R40;180;1;;RES 180 OHM 5% 4W 2816;;PSA-0036
R44;300k;1;;RES 300K OHM 1% 1/10W 0603;;PSA-3216
R46,R47;100k;2;;RES 100K OHM 1% 1/10W 0603;;PSA-2743
R48;59k;1;;RES 59K OHM 1% 1/10W 0603;;PSA-3217
R50;0;1;;RES 0 OHM 1% 1/10W 0603;;PSA-1459
SW1,SW2;SW_Push;2;;Push button switch, generic, two pins;;PSA-0047
U1;SC0915;1;;RASPBERRY PI PICO RP2040;;PSA-0041
U2;IRS25752L;1;;600 V single high-side gate driver IC with single input;;PSA-3218
U4;MCP1793T-5002H/OT;1;;IC REG LINEAR 5V 100MA SOT23-5;;PSA-3219
U5;74HC4051;1;;IC MUX 8:1 120OHM 16TSSOP;;PSA-0043
U6,U7;MCP9700T-ETT;2;;SENSOR ANALOG -40C-125C SOT23-3;;PSA-0018
U8,U10;LV2862YDDC;2;;IC REG BUCK ADJ 600MA SOT23;;PSA-3220
